Key Skills,Technology Expertise,Role Preferences,Preferred Collaboration Type,Years of Experience,Availability,Portfolio or GitHub,Knowledge Summary
"['UI/UX Design', 'Data Engineering']","['Deep Learning', 'Reinforcement Learning', 'Natural Language Processing (NLP)', 'Data Analytics/Visualization']","['Data Scientist', 'Researcher']",Volunteer-based,3–5 years,Available 11 hours per week. Flexible schedule.,https://github.com/user0,"This contributor has experience in UI/UX Design, Data Engineering and is proficient in technologies like Deep Learning, Reinforcement Learning, Natural Language Processing (NLP), Data Analytics/Visualization. They are interested in roles such as Data Scientist, Researcher and prefer Volunteer-based collaboration. With 3–5 years of experience, they are available for Available 11 hours per week. Flexible schedule.."
"['Data Engineering', 'Backend Development', 'Other (Specify)']","['Big Data', 'Data Analytics/Visualization', 'Natural Language Processing (NLP)', 'Other (Specify)']","['Machine Learning Engineer', 'Data Scientist']",Volunteer-based,5+ years,Available 17 hours per week. Flexible schedule.,https://github.com/user1,"This contributor has experience in Data Engineering, Backend Development, Other (Specify) and is proficient in technologies like Big Data, Data Analytics/Visualization, Natural Language Processing (NLP), Other (Specify). They are interested in roles such as Machine Learning Engineer, Data Scientist and prefer Volunteer-based collaboration. With 5+ years of experience, they are available for Available 17 hours per week. Flexible schedule.."
"['Model Training and Optimization', 'UI/UX Design', 'Backend Development']","['Other (Specify)', 'Natural Language Processing (NLP)', 'Big Data', 'Cloud Computing']",['Machine Learning Engineer'],Other (Specify),Less than 1 year,Available 13 hours per week. Flexible schedule.,https://github.com/user2,"This contributor has experience in Model Training and Optimization, UI/UX Design, Backend Development and is proficient in technologies like Other (Specify), Natural Language Processing (NLP), Big Data, Cloud Computing. They are interested in roles such as Machine Learning Engineer and prefer Other (Specify) collaboration. With Less than 1 year of experience, they are available for Available 13 hours per week. Flexible schedule.."
"['Frontend Development', 'UI/UX Design']","['Data Analytics/Visualization', 'Big Data', 'Other (Specify)', 'Cloud Computing']",['Researcher'],Other (Specify),3–5 years,Available 17 hours per week. Flexible schedule.,https://github.com/user3,"This contributor has experience in Frontend Development, UI/UX Design and is proficient in technologies like Data Analytics/Visualization, Big Data, Other (Specify), Cloud Computing. They are interested in roles such as Researcher and prefer Other (Specify) collaboration. With 3–5 years of experience, they are available for Available 17 hours per week. Flexible schedule.."
"['Frontend Development', 'Data Cleaning and Preprocessing', 'Data Engineering', 'Backend Development']","['Computer Vision', 'Deep Learning', 'Data Analytics/Visualization']","['Other (Specify)', 'Data Engineer']",Part-time,5+ years,Available 18 hours per week. Flexible schedule.,https://github.com/user4,"This contributor has experience in Frontend Development, Data Cleaning and Preprocessing, Data Engineering, Backend Development and is proficient in technologies like Computer Vision, Deep Learning, Data Analytics/Visualization. They are interested in roles such as Other (Specify), Data Engineer and prefer Part-time collaboration. With 5+ years of experience, they are available for Available 18 hours per week. Flexible schedule.."
"['Data Cleaning and Preprocessing', 'UI/UX Design', 'Project Management', 'Backend Development']","['Cloud Computing', 'Other (Specify)', 'Natural Language Processing (NLP)']",['Data Engineer'],Volunteer-based,3–5 years,Available 20 hours per week. Flexible schedule.,https://github.com/user5,"This contributor has experience in Data Cleaning and Preprocessing, UI/UX Design, Project Management, Backend Development and is proficient in technologies like Cloud Computing, Other (Specify), Natural Language Processing (NLP). They are interested in roles such as Data Engineer and prefer Volunteer-based collaboration. With 3–5 years of experience, they are available for Available 20 hours per week. Flexible schedule.."
"['Domain Knowledge (Specify in Other)', 'Other (Specify)']","['Reinforcement Learning', 'Computer Vision', 'Data Analytics/Visualization']","['Machine Learning Engineer', 'Software Developer']",Full-time,1–3 years,Available 6 hours per week. Flexible schedule.,https://github.com/user6,"This contributor has experience in Domain Knowledge (Specify in Other), Other (Specify) and is proficient in technologies like Reinforcement Learning, Computer Vision, Data Analytics/Visualization. They are interested in roles such as Machine Learning Engineer, Software Developer and prefer Full-time collaboration. With 1–3 years of experience, they are available for Available 6 hours per week. Flexible schedule.."
"['Project Management', 'UI/UX Design', 'Data Engineering', 'Model Training and Optimization']","['Other (Specify)', 'Cloud Computing', 'Deep Learning', 'Natural Language Processing (NLP)']",['Data Scientist'],Part-time,1–3 years,Available 10 hours per week. Flexible schedule.,https://github.com/user7,"This contributor has experience in Project Management, UI/UX Design, Data Engineering, Model Training and Optimization and is proficient in technologies like Other (Specify), Cloud Computing, Deep Learning, Natural Language Processing (NLP). They are interested in roles such as Data Scientist and prefer Part-time collaboration. With 1–3 years of experience, they are available for Available 10 hours per week. Flexible schedule.."
"['Project Management', 'Domain Knowledge (Specify in Other)', 'Frontend Development', 'Other (Specify)']","['Cloud Computing', 'Deep Learning', 'Computer Vision', 'Data Analytics/Visualization']","['Machine Learning Engineer', 'Designer', 'Data Engineer']",Part-time,5+ years,Available 14 hours per week. Flexible schedule.,https://github.com/user8,"This contributor has experience in Project Management, Domain Knowledge (Specify in Other), Frontend Development, Other (Specify) and is proficient in technologies like Cloud Computing, Deep Learning, Computer Vision, Data Analytics/Visualization. They are interested in roles such as Machine Learning Engineer, Designer, Data Engineer and prefer Part-time collaboration. With 5+ years of experience, they are available for Available 14 hours per week. Flexible schedule.."
"['Model Training and Optimization', 'Other (Specify)']","['Deep Learning', 'Reinforcement Learning', 'Other (Specify)']","['Other (Specify)', 'Machine Learning Engineer', 'Designer']",Part-time,Less than 1 year,Available 11 hours per week. Flexible schedule.,https://github.com/user9,"This contributor has experience in Model Training and Optimization, Other (Specify) and is proficient in technologies like Deep Learning, Reinforcement Learning, Other (Specify). They are interested in roles such as Other (Specify), Machine Learning Engineer, Designer and prefer Part-time collaboration. With Less than 1 year of experience, they are available for Available 11 hours per week. Flexible schedule.."
"['Frontend Development', 'Data Engineering', 'Backend Development']","['Deep Learning', 'Other (Specify)']","['Other (Specify)', 'Data Engineer', 'Software Developer']",Part-time,Less than 1 year,Available 11 hours per week. Flexible schedule.,https://github.com/user10,"This contributor has experience in Frontend Development, Data Engineering, Backend Development and is proficient in technologies like Deep Learning, Other (Specify). They are interested in roles such as Other (Specify), Data Engineer, Software Developer and prefer Part-time collaboration. With Less than 1 year of experience, they are available for Available 11 hours per week. Flexible schedule.."
"['UI/UX Design', 'Backend Development', 'Data Cleaning and Preprocessing']","['Deep Learning', 'Natural Language Processing (NLP)', 'Other (Specify)', 'Computer Vision']",['Data Engineer'],Full-time,5+ years,Available 17 hours per week. Flexible schedule.,https://github.com/user11,"This contributor has experience in UI/UX Design, Backend Development, Data Cleaning and Preprocessing and is proficient in technologies like Deep Learning, Natural Language Processing (NLP), Other (Specify), Computer Vision. They are interested in roles such as Data Engineer and prefer Full-time collaboration. With 5+ years of experience, they are available for Available 17 hours per week. Flexible schedule.."
"['UI/UX Design', 'Other (Specify)']","['Natural Language Processing (NLP)', 'Reinforcement Learning']","['Designer', 'Data Engineer']",Part-time,Less than 1 year,Available 10 hours per week. Flexible schedule.,https://github.com/user12,"This contributor has experience in UI/UX Design, Other (Specify) and is proficient in technologies like Natural Language Processing (NLP), Reinforcement Learning. They are interested in roles such as Designer, Data Engineer and prefer Part-time collaboration. With Less than 1 year of experience, they are available for Available 10 hours per week. Flexible schedule.."
"['Other (Specify)', 'Frontend Development', 'Data Engineering', 'UI/UX Design']","['Computer Vision', 'Natural Language Processing (NLP)', 'Reinforcement Learning']",['Researcher'],Full-time,3–5 years,Available 5 hours per week. Flexible schedule.,https://github.com/user13,"This contributor has experience in Other (Specify), Frontend Development, Data Engineering, UI/UX Design and is proficient in technologies like Computer Vision, Natural Language Processing (NLP), Reinforcement Learning. They are interested in roles such as Researcher and prefer Full-time collaboration. With 3–5 years of experience, they are available for Available 5 hours per week. Flexible schedule.."
"['Domain Knowledge (Specify in Other)', 'UI/UX Design', 'Project Management']","['Other (Specify)', 'Computer Vision', 'Deep Learning', 'Big Data']","['Domain Expert', 'Software Developer', 'Researcher']",Full-time,Less than 1 year,Available 17 hours per week. Flexible schedule.,https://github.com/user14,"This contributor has experience in Domain Knowledge (Specify in Other), UI/UX Design, Project Management and is proficient in technologies like Other (Specify), Computer Vision, Deep Learning, Big Data. They are interested in roles such as Domain Expert, Software Developer, Researcher and prefer Full-time collaboration. With Less than 1 year of experience, they are available for Available 17 hours per week. Flexible schedule.."
"['Other (Specify)', 'Model Training and Optimization', 'UI/UX Design']","['Big Data', 'Natural Language Processing (NLP)', 'Computer Vision']",['Domain Expert'],Volunteer-based,3–5 years,Available 13 hours per week. Flexible schedule.,https://github.com/user15,"This contributor has experience in Other (Specify), Model Training and Optimization, UI/UX Design and is proficient in technologies like Big Data, Natural Language Processing (NLP), Computer Vision. They are interested in roles such as Domain Expert and prefer Volunteer-based collaboration. With 3–5 years of experience, they are available for Available 13 hours per week. Flexible schedule.."
"['Model Training and Optimization', 'Other (Specify)', 'UI/UX Design']","['Data Analytics/Visualization', 'Natural Language Processing (NLP)', 'Cloud Computing', 'Computer Vision']","['Data Engineer', 'Data Scientist']",Full-time,3–5 years,Available 12 hours per week. Flexible schedule.,https://github.com/user16,"This contributor has experience in Model Training and Optimization, Other (Specify), UI/UX Design and is proficient in technologies like Data Analytics/Visualization, Natural Language Processing (NLP), Cloud Computing, Computer Vision. They are interested in roles such as Data Engineer, Data Scientist and prefer Full-time collaboration. With 3–5 years of experience, they are available for Available 12 hours per week. Flexible schedule.."
"['Data Cleaning and Preprocessing', 'Project Management', 'Domain Knowledge (Specify in Other)']","['Data Analytics/Visualization', 'Cloud Computing']",['Machine Learning Engineer'],Other (Specify),3–5 years,Available 10 hours per week. Flexible schedule.,https://github.com/user17,"This contributor has experience in Data Cleaning and Preprocessing, Project Management, Domain Knowledge (Specify in Other) and is proficient in technologies like Data Analytics/Visualization, Cloud Computing. They are interested in roles such as Machine Learning Engineer and prefer Other (Specify) collaboration. With 3–5 years of experience, they are available for Available 10 hours per week. Flexible schedule.."
"['Domain Knowledge (Specify in Other)', 'Project Management', 'UI/UX Design', 'Other (Specify)']","['Computer Vision', 'Natural Language Processing (NLP)', 'Other (Specify)', 'Big Data']","['Other (Specify)', 'Data Engineer']",Other (Specify),3–5 years,Available 15 hours per week. Flexible schedule.,https://github.com/user18,"This contributor has experience in Domain Knowledge (Specify in Other), Project Management, UI/UX Design, Other (Specify) and is proficient in technologies like Computer Vision, Natural Language Processing (NLP), Other (Specify), Big Data. They are interested in roles such as Other (Specify), Data Engineer and prefer Other (Specify) collaboration. With 3–5 years of experience, they are available for Available 15 hours per week. Flexible schedule.."
"['Backend Development', 'UI/UX Design']","['Data Analytics/Visualization', 'Cloud Computing']",['Other (Specify)'],Other (Specify),1–3 years,Available 5 hours per week. Flexible schedule.,https://github.com/user19,"This contributor has experience in Backend Development, UI/UX Design and is proficient in technologies like Data Analytics/Visualization, Cloud Computing. They are interested in roles such as Other (Specify) and prefer Other (Specify) collaboration. With 1–3 years of experience, they are available for Available 5 hours per week. Flexible schedule.."
"['UI/UX Design', 'Backend Development', 'Other (Specify)', 'Domain Knowledge (Specify in Other)']","['Other (Specify)', 'Deep Learning', 'Computer Vision', 'Data Analytics/Visualization']","['Designer', 'Other (Specify)']",Other (Specify),5+ years,Available 10 hours per week. Flexible schedule.,https://github.com/user20,"This contributor has experience in UI/UX Design, Backend Development, Other (Specify), Domain Knowledge (Specify in Other) and is proficient in technologies like Other (Specify), Deep Learning, Computer Vision, Data Analytics/Visualization. They are interested in roles such as Designer, Other (Specify) and prefer Other (Specify) collaboration. With 5+ years of experience, they are available for Available 10 hours per week. Flexible schedule.."
"['Domain Knowledge (Specify in Other)', 'UI/UX Design', 'Data Engineering', 'Project Management']","['Deep Learning', 'Computer Vision']","['Other (Specify)', 'Data Scientist']",Volunteer-based,3–5 years,Available 13 hours per week. Flexible schedule.,https://github.com/user21,"This contributor has experience in Domain Knowledge (Specify in Other), UI/UX Design, Data Engineering, Project Management and is proficient in technologies like Deep Learning, Computer Vision. They are interested in roles such as Other (Specify), Data Scientist and prefer Volunteer-based collaboration. With 3–5 years of experience, they are available for Available 13 hours per week. Flexible schedule.."
"['Model Training and Optimization', 'Domain Knowledge (Specify in Other)']","['Natural Language Processing (NLP)', 'Deep Learning', 'Cloud Computing', 'Big Data']",['Software Developer'],Part-time,3–5 years,Available 10 hours per week. Flexible schedule.,https://github.com/user22,"This contributor has experience in Model Training and Optimization, Domain Knowledge (Specify in Other) and is proficient in technologies like Natural Language Processing (NLP), Deep Learning, Cloud Computing, Big Data. They are interested in roles such as Software Developer and prefer Part-time collaboration. With 3–5 years of experience, they are available for Available 10 hours per week. Flexible schedule.."
"['UI/UX Design', 'Domain Knowledge (Specify in Other)']","['Natural Language Processing (NLP)', 'Computer Vision', 'Cloud Computing']",['Other (Specify)'],Other (Specify),3–5 years,Available 16 hours per week. Flexible schedule.,https://github.com/user23,"This contributor has experience in UI/UX Design, Domain Knowledge (Specify in Other) and is proficient in technologies like Natural Language Processing (NLP), Computer Vision, Cloud Computing. They are interested in roles such as Other (Specify) and prefer Other (Specify) collaboration. With 3–5 years of experience, they are available for Available 16 hours per week. Flexible schedule.."
"['Backend Development', 'Project Management', 'Data Engineering', 'Model Training and Optimization']","['Big Data', 'Computer Vision', 'Deep Learning']",['Data Engineer'],Volunteer-based,Less than 1 year,Available 10 hours per week. Flexible schedule.,https://github.com/user24,"This contributor has experience in Backend Development, Project Management, Data Engineering, Model Training and Optimization and is proficient in technologies like Big Data, Computer Vision, Deep Learning. They are interested in roles such as Data Engineer and prefer Volunteer-based collaboration. With Less than 1 year of experience, they are available for Available 10 hours per week. Flexible schedule.."
